"inst_name","grad_rate_6yr","pct_pell","pct_loan","cost_attendance","tuition_in_state","tuition_out_state","pct_admitted","enrollment","stud_fac_ratio","retention_rate","avg_fac_salary","instr_exp_per_stud","pct_full_time_fac","pct_first_gen","avg_age_entry","pct_female","pct_hispanic"
"Inter American University of Puerto Rico-Fajardo",0.3767,82.72,11.91,16190,5780,5780,26.54,1072,22,0.7628,5114,4240,100,32.14574899,"22.049320944",57.18370264,99.35
"Inter American University of Puerto Rico-Guayama",0.4421,66.39,24.63,16475,5780,5780,36.33,2393,26,0.8255,4728,3003,100,38.26311264,"23.373660031",66.53905054,98.91
"Inter American University of Puerto Rico-Bayamon",0.3492,80.11,13.25,16324,5780,5780,39.62,3476,30,0.7387,5400,3121,100,27.26588943,"21.418181818",43.49914237,99.63
"University of Puerto Rico-Aguadilla",0.4633,82.61,6.06,14498,5954,5954,81.4,1883,19,0.6905,5687,7355,87.4,28.15472416,"19.692844677",55.03199535,83.96
"University of Puerto Rico-Arecibo",0.52,88.96,3.34,17710,5354,5354,59.18,2669,19,0.7612,7301,6846,77.67,22.42355606,"19.645095018",59.57883924,100
"University of Puerto Rico-Bayamon",0.3706,86.92,4.01,12501,6284,6284,35.33,2851,21,0.7784,5869,6534,81.87,18.20608649,"19.587659158",50.19588639,100
"University of Puerto Rico-Carolina",0.3727,76.03,3.42,19396,7986,7986,54.54,2404,20,0.7148,7539,5764,58,18.44011142,"20.066231811",62.01705971,96.26
"University of Puerto Rico at Cayey",0.4983,75.88,0.36,15909,5354,5354,53,2069,24,0.7593,5701,8620,89.54,19.12908243,"19.376344086",66.4516129,100
"University of Puerto Rico-Humacao",0.4712,80.58,3.75,19547,5364,5364,54.8,2529,14,0.8133,5890,10543,75.53,22.26967663,"19.495633188",65.55676856,90.43
"University of Puerto Rico-Utuado",0.2326,84.23,6.62,20908,5354,5354,64.11,325,9,0.4634,7906,17709,86.96,27.23658052,"19.46361186",51.21293801,80.31
"University of Puerto Rico-Mayaguez",0.491,64.89,8.52,21637,5274,5274,56.52,9539,19,0.8701,8407,8147,94.62,17.01680672,"19.547921334",47.39855614,93.96
"University of Puerto Rico at Ponce",0.4618,82.62,7.85,17193,5354,5354,52.45,2278,22,0.7304,5915,5467,53.07,21.42857143,"19.474878444",56.5099946,100
"University of Puerto Rico-Rio Piedras",0.5026,66.47,4.73,15118,5354,5354,54.59,8572,11,0.7718,6128,12387,73.82,15.58323896,"19.864989518",61.84486373,94.14
"Universidad del Sagrado Corazon",0.5207,71.48,21.27,19728,6410,6410,58.02,4442,21,0.7907,4546,4216,21.58,27.72397094,"24.80457934",61.12886049,99.53
"Universidad Central Del Caribe",0.4,72.22,17.78,14642,7707,7707,60,90,11,0.7143,4119,11228,72.31,32.75862069,"23.261682243",74.76635514,87.78
"Pontifical Catholic University of Puerto Rico-Mayaguez",0.3989,80.42,24.43,18605,6550,6550,99.17,555,13,0.7805,4241,14568,71.93,30.84022915,"21.188372093",58.43023256,99.82
"College of Micronesia-FSM",0.3408,79.25,0,10445,5050,5050,87.07,1729,13,0.4,3195,4678,100,47.18361375,"20.243144424",58.43997562,0
"University of the Virgin Islands",0.2823,48.74,17.11,17771,5957,16557,98.98,1518,10,0.6859,7379,11416,100,46.61764706,"21.588585018",68.25208086,14.36
"Stanford University",0.9192,19.16,6.2,87833,65910,65910,3.61,7554,6,0.9818,25198,154517,99.17,30.33854167,"19.709330144",49.40191388,17.06
"Purdue University-Main Campus",0.831,12.98,22.45,24591,9992,28794,49.87,44503,14,0.927,14473,20511,96.09,18.53810686,"19.969792488",47.32072498,7.5
"EDP University of Puerto Rico Inc-San Juan",0.2439,58.16,49.57,15740,7050,14125,60.67,1404,14,0.6,3031,2905,100,44.092827,"28.823505155",66.4742268,99.15
"Mid-America Christian University",0.4423,52.87,58.13,31313,21294,21294,91.76,1666,14,0.6515,5970,3229,100,49.7824195,"33.947972456",66.2586075,14.83
"ECPI University",0.4246,53.13,56.58,30055,18484,18484,74.52,12090,13,0.5646,6644,9396,32.09,47.67248084,"29.253738318",63.73831776,15.85
"New College of Florida",0.6667,33.94,18.87,24449,6916,29944,73.2,843,8,0.7557,10340,21232,84.4,20.93862816,"20.115254237",67.45762712,20.17
"University of Advancing Technology",0.3514,56.95,68.39,32794,19365,19365,98.06,855,15,0.7699,6981,5703,75.61,34.70319635,"24.082304527",15.22633745,19.65
"California State University-San Marcos",0.5456,42.61,28.34,21649,8082,20682,95.1,14877,24,0.7864,12046,8419,46.31,48.25760918,"23.506063947",65.96839397,51.54
"Nossi College of Art and Design",0.418,57.25,52.79,27710,20350,20350,46.31,247,10,0.88,7917,6159,17.02,39.57219251,"23.238317757",60.74766355,8.5
"University of Washington-Bothell Campus",0.6532,28.64,19.89,26908,12919,43155,90.6,5457,22,0.8584,13164,4757,62.46,32.72745332,"22.528038637",57.46355424,10.52
"University of Washington-Tacoma Campus",0.6324,39.66,27.33,25346,13168,43404,82.52,4185,15,0.7997,12135,5672,81.59,32.72745332,"22.528038637",57.46355424,16.06
"Beacon College",0.6023,23.53,34.91,70775,51680,51680,43.47,506,12,0.8492,6234,9122,100,19.11764706,"22.205479452",46.57534247,8.5
"Everglades University",0.6136,72.01,73.96,38913,21680,21680,81.45,2789,17,0.7365,5277,5573,26.71,41.80238871,"33.50527325",55.2253116,20.44
"Herzing University-Orlando",0.3714,64.96,80.77,26664,13450,13450,94.2,714,16,0.4,7718,5219,20.69,52.09032652,"31.289940828",81.35465189,31.79
"Southern California Institute of Technology",0.7404,61.67,62.62,37992,20515,20515,74.19,508,20,1,6758,2136,30,61.84210526,"29.407792208",4.15584416,54.92
"California State University-Monterey Bay",0.5909,43.17,28.48,26987,7779,20379,97.4,6819,24,0.7987,12135,11704,51.4,51.77157149,"23.837155201",67.09870389,55.87
"Trine University-Regional/Non-Traditional Campuses",0,18.02,19.59,26786,7176,7176,39.86,607,13,1,8289,2185,22.07,32.15613383,"23.029746282",39.19510061,12.85
"Arizona College of Nursing-Tempe",0.8889,46.95,73.89,38153,26091,26091,100,1202,20,0.7143,7785,9013,25,54.42307692,"28.43404908",84.86707566,30.2
"Eastern International College-Jersey City",0.3412,38.61,61.18,26182,18383,18383,69.63,495,15,0.5484,7038,5003,22.58,52.27272727,"28.524390244",90.48780488,36.97
"Embry-Riddle Aeronautical University-Worldwide",0.2055,25.51,10.04,24878,12097,12097,57.91,9139,23,0.6029,9064,5693,20.97,35.54592721,"25.385231459",18.16434407,20.45
"Southeastern College-West Palm Beach",0.875,76.62,93.85,37884,24480,24480,87.04,563,12,0.6667,6430,6006,41.75,51.80722892,"31.155328798",83.5600907,25.4
"Herzing University-New Orleans",0.1538,76.73,83.38,28414,13450,13450,92,346,14,0.5,7240,4246,28.57,52.09032652,"31.289940828",81.35465189,3.47
"Florida Gulf Coast University",0.574,27.88,24.6,20807,6118,25162,63.44,13874,20,0.8322,9789,7517,67.19,35.94800538,"21.352745424",59.40099834,25.78
"University of Connecticut-Waterbury Campus",0.5273,51.58,37.24,22933,18140,40808,86.66,733,20,0.7778,17573,4207,68,26.64932932,"20.321323247",53.09655084,30.56
"University of Connecticut-Avery Point",0.6162,38.19,36.5,23337,18140,40808,88.18,454,13,0.7024,17573,20253,68,26.64932932,"20.321323247",53.09655084,17.84
"University of Connecticut-Stamford",0.5654,50.71,35,30122,18150,40818,82.98,2432,21,0.816,17573,3494,68,26.64932932,"20.321323247",53.09655084,37.25
"The King's University",0.4737,38.6,47.79,18075,12480,12480,60.64,251,10,0.5,8073,6696,100,40,"29.525210084",53.78151261,20.32
"Oregon State University-Cascades Campus",0.5556,27.41,31.57,29798,13566,37356,63.11,1044,9,0.75,11502,3535,78.65,31.369606,"23.684235129",50.83557321,11.78
