Source,Date,Mean
GCAG,1/6/1938,-0.0378
GISTEMP,1/6/1938,0
GCAG,12/6/1937,-0.0919
GISTEMP,12/6/1937,-0.12
GCAG,11/6/1937,0.0099
GISTEMP,11/6/1937,0.09
GCAG,10/6/1937,0.1137
GISTEMP,10/6/1937,0.1
GCAG,9/6/1937,0.1316
GISTEMP,9/6/1937,0.14
GCAG,8/6/1937,0.093
GISTEMP,8/6/1937,0.03
GCAG,7/6/1937,-0.0004
GISTEMP,7/6/1937,-0.05
GCAG,6/6/1937,0.0126
GISTEMP,6/6/1937,-0.08
GCAG,5/6/1937,-0.0187
GISTEMP,5/6/1937,-0.07
GCAG,4/6/1937,-0.1262
GISTEMP,4/6/1937,-0.17
GCAG,3/6/1937,-0.1823
GISTEMP,3/6/1937,-0.17
GCAG,2/6/1937,0.0385
GISTEMP,2/6/1937,0.05
GCAG,1/6/1937,-0.1684
GISTEMP,1/6/1937,-0.11
GCAG,12/6/1936,-0.0193
GISTEMP,12/6/1936,-0.04
GCAG,11/6/1936,-0.0275
GISTEMP,11/6/1936,-0.05
GCAG,10/6/1936,-0.0224
GISTEMP,10/6/1936,-0.04
GCAG,9/6/1936,-0.0389
GISTEMP,9/6/1936,-0.06
GCAG,8/6/1936,-0.0557
GISTEMP,8/6/1936,-0.12
GCAG,7/6/1936,-0.0139
GISTEMP,7/6/1936,-0.06
GCAG,6/6/1936,-0.1075
GISTEMP,6/6/1936,-0.19
GCAG,5/6/1936,-0.1178
GISTEMP,5/6/1936,-0.17
GCAG,4/6/1936,-0.1789
GISTEMP,4/6/1936,-0.2
GCAG,3/6/1936,-0.2107
GISTEMP,3/6/1936,-0.23
GCAG,2/6/1936,-0.3137
GISTEMP,2/6/1936,-0.39
GCAG,1/6/1936,-0.2547
GISTEMP,1/6/1936,-0.29
GCAG,12/6/1935,-0.1769
GISTEMP,12/6/1935,-0.22
GCAG,11/6/1935,-0.2707
GISTEMP,11/6/1935,-0.29
GCAG,10/6/1935,-0.013
GISTEMP,10/6/1935,-0.08
GCAG,9/6/1935,-0.0916
GISTEMP,9/6/1935,-0.17
GCAG,8/6/1935,-0.1003
GISTEMP,8/6/1935,-0.17
GCAG,7/6/1935,-0.1155
GISTEMP,7/6/1935,-0.19
GCAG,6/6/1935,-0.1706
GISTEMP,6/6/1935,-0.23
GCAG,5/6/1935,-0.2038
GISTEMP,5/6/1935,-0.26
GCAG,4/6/1935,-0.2567
GISTEMP,4/6/1935,-0.35
GCAG,3/6/1935,-0.1475
GISTEMP,3/6/1935,-0.13
GCAG,2/6/1935,0.1659
GISTEMP,2/6/1935,0.11
GCAG,1/6/1935,-0.2894
GISTEMP,1/6/1935,-0.37
GCAG,12/6/1934,-0.0256
GISTEMP,12/6/1934,-0.09
GCAG,11/6/1934,0.0128
GISTEMP,11/6/1934,-0.01
GCAG,10/6/1934,-0.0693
GISTEMP,10/6/1934,-0.11
GCAG,9/6/1934,-0.1226
GISTEMP,9/6/1934,-0.16
GCAG,8/6/1934,-0.0548
GISTEMP,8/6/1934,-0.1
GCAG,7/6/1934,-0.0894
GISTEMP,7/6/1934,-0.11
GCAG,6/6/1934,-0.0025
GISTEMP,6/6/1934,-0.14
GCAG,5/6/1934,-0.0444
GISTEMP,5/6/1934,-0.11
GCAG,4/6/1934,-0.2318
GISTEMP,4/6/1934,-0.27
GCAG,3/6/1934,-0.2574
GISTEMP,3/6/1934,-0.31
GCAG,2/6/1934,-0.0231
GISTEMP,2/6/1934,-0.04
GCAG,1/6/1934,-0.3102
GISTEMP,1/6/1934,-0.27
GCAG,12/6/1933,-0.4069
GISTEMP,12/6/1933,-0.47
GCAG,11/6/1933,-0.2548
GISTEMP,11/6/1933,-0.31
GCAG,10/6/1933,-0.1879
GISTEMP,10/6/1933,-0.24
GCAG,9/6/1933,-0.2214
GISTEMP,9/6/1933,-0.26
GCAG,8/6/1933,-0.1889
GISTEMP,8/6/1933,-0.23
GCAG,7/6/1933,-0.181
GISTEMP,7/6/1933,-0.2
GCAG,6/6/1933,-0.2007
GISTEMP,6/6/1933,-0.32
GCAG,5/6/1933,-0.2091
GISTEMP,5/6/1933,-0.25
GCAG,4/6/1933,-0.2044
GISTEMP,4/6/1933,-0.23
GCAG,3/6/1933,-0.2476
GISTEMP,3/6/1933,-0.29
GCAG,2/6/1933,-0.3167
GISTEMP,2/6/1933,-0.32
GCAG,1/6/1933,-0.3073
GISTEMP,1/6/1933,-0.34
GCAG,12/6/1932,-0.1861
GISTEMP,12/6/1932,-0.22
GCAG,11/6/1932,-0.1945
GISTEMP,11/6/1932,-0.26
GCAG,10/6/1932,-0.0926
GISTEMP,10/6/1932,-0.1
GCAG,9/6/1932,-0.0695
GISTEMP,9/6/1932,-0.11
GCAG,8/6/1932,-0.1757
GISTEMP,8/6/1932,-0.24
GCAG,7/6/1932,-0.1208
GISTEMP,7/6/1932,-0.24
GCAG,6/6/1932,-0.1578
GISTEMP,6/6/1932,-0.3
GCAG,5/6/1932,-0.1674
GISTEMP,5/6/1932,-0.22
GCAG,4/6/1932,-0.0324
GISTEMP,4/6/1932,-0.07
GCAG,3/6/1932,-0.1799
GISTEMP,3/6/1932,-0.2
GCAG,2/6/1932,-0.1794
GISTEMP,2/6/1932,-0.18
GCAG,1/6/1932,0.1547
GISTEMP,1/6/1932,0.13
GCAG,12/6/1931,-0.1052
GISTEMP,12/6/1931,-0.1
GCAG,11/6/1931,-0.1139
GISTEMP,11/6/1931,-0.12
GCAG,10/6/1931,0.0092
GISTEMP,10/6/1931,0
GCAG,9/6/1931,0.0035
GISTEMP,9/6/1931,-0.06
GCAG,8/6/1931,0.0047
GISTEMP,8/6/1931,0
GCAG,7/6/1931,-0.0155
GISTEMP,7/6/1931,0.01
GCAG,6/6/1931,-0.0185
GISTEMP,6/6/1931,-0.06
GCAG,5/6/1931,-0.1499
GISTEMP,5/6/1931,-0.22
GCAG,4/6/1931,-0.1625
GISTEMP,4/6/1931,-0.21
GCAG,3/6/1931,-0.0061
GISTEMP,3/6/1931,-0.06
GCAG,2/6/1931,-0.2225
GISTEMP,2/6/1931,-0.22
GCAG,1/6/1931,-0.047
GISTEMP,1/6/1931,-0.1
GCAG,12/6/1930,0.0064
GISTEMP,12/6/1930,-0.09
GCAG,11/6/1930,0.1368
GISTEMP,11/6/1930,0.14
GCAG,10/6/1930,-0.0011
GISTEMP,10/6/1930,-0.08
GCAG,9/6/1930,-0.1043
GISTEMP,9/6/1930,-0.11
GCAG,8/6/1930,-0.09
GISTEMP,8/6/1930,-0.11
GCAG,7/6/1930,-0.0692
GISTEMP,7/6/1930,-0.17
GCAG,6/6/1930,-0.1135
GISTEMP,6/6/1930,-0.19
GCAG,5/6/1930,-0.1976
GISTEMP,5/6/1930,-0.25
GCAG,4/6/1930,-0.195
GISTEMP,4/6/1930,-0.26
GCAG,3/6/1930,-0.0549
GISTEMP,3/6/1930,-0.08
GCAG,2/6/1930,-0.2
GISTEMP,2/6/1930,-0.24
GCAG,1/6/1930,-0.3206
GISTEMP,1/6/1930,-0.29
GCAG,12/6/1929,-0.5167
GISTEMP,12/6/1929,-0.55
GCAG,11/6/1929,-0.0971
GISTEMP,11/6/1929,-0.14
GCAG,10/6/1929,-0.1185
GISTEMP,10/6/1929,-0.15
GCAG,9/6/1929,-0.2089
GISTEMP,9/6/1929,-0.23
GCAG,8/6/1929,-0.2078
GISTEMP,8/6/1929,-0.29
GCAG,7/6/1929,-0.2735
GISTEMP,7/6/1929,-0.33
GCAG,6/6/1929,-0.2746
GISTEMP,6/6/1929,-0.43
GCAG,5/6/1929,-0.2886
GISTEMP,5/6/1929,-0.39
GCAG,4/6/1929,-0.2976
GISTEMP,4/6/1929,-0.4
GCAG,3/6/1929,-0.2654
GISTEMP,3/6/1929,-0.34
GCAG,2/6/1929,-0.5495
GISTEMP,2/6/1929,-0.61
GCAG,1/6/1929,-0.484
GISTEMP,1/6/1929,-0.47
GCAG,12/6/1928,-0.1713
GISTEMP,12/6/1928,-0.2
GCAG,11/6/1928,-0.0679
GISTEMP,11/6/1928,-0.09
GCAG,10/6/1928,-0.1256
GISTEMP,10/6/1928,-0.19
GCAG,9/6/1928,-0.1904
GISTEMP,9/6/1928,-0.2
GCAG,8/6/1928,-0.1997
GISTEMP,8/6/1928,-0.25
