StartDate,EndDate,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11WOC,F12,F13,F14WOC,F15WOC,F16WOC,F17,F18,F19,F20WOC,F21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33MOC,M34MOC,M35MOC,M36MOC,M37,M38,M39,M40,M41,M42,Age,Gender,Ethnicity,Specify_ethnicity,University,Class_standing,Class_specify,Major,GPA,History_offering,Taken_history,Grade_history,Womenclass_offer,Taken_womenclass,Grade_womenclass,Nameofwomenclass,Male_score,Female_score,POC_score,White_score,WhiteWomen_score,WhiteMen_score,POCWomen_score,POCMen_score,Overall_Reconition_Mean,random_white,Male_Score_Median,Female_Score_Median,POC_Score_Median,White_Score_Median,White_Women_Median,White_Men_Median,POC_Women_Median,POC_Men_Median,Full_Scale_Median,Random_White_Median
2/23/2018 10:44:54,2/23/2018 10:50:01,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3,3,3,3,2,2,3,1,3,2,0,0,0,3,0,1,2,1,3,24,1,5, , ,4, ,Counseling Psychology,2.7, , , ,1,3, , ,1.95238095238095,.285714285714286,.333333333333333,1.33333333333333,.3125,2.29411764705882,.2,.5,1.11904761904762,1.22222222222222,2,0,0,1,0,3,0,0,0,1
1/31/2018 13:26:00,1/31/2018 13:30:41,3,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,3,1,2,3,3,3,3,2,3,0,0,0,0,0,2,2,1,3,3,20,2,5, , ,4, ,Counseling Psychology,3.95,1,1,1,1,3, , ,1.85714285714286,.476190476190476,0,1.48484848484848,.625,2.29411764705882,0,0,1.16666666666667,1.33333333333333,2,0,0,2,0,3,0,0,.5,2
1/31/2018 14:18:39,1/31/2018 14:21:38,3,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,3,3,3,3,1,3,0,0,1,0,0,2,1,0,2,2,21,2,5, , ,4, ,Counseling Psychology,3.95,1,1,1,1,3, , ,1.80952380952381,.428571428571429,.111111111111111,1.39393939393939,.5625,2.17647058823529,0,.25,1.11904761904762,.777777777777778,2,0,0,1,0,3,0,0,0,0
1/31/2018 12:54:19,1/31/2018 13:04:11,3,2,0,2,3,1,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,0,0,1,0,1,3,2,2,3,3,21,2,6,Hispanic,CMU,4, ,Counseling Psychology,3.5,1,1,2,1,1,1,Psychology of Women,2.14285714285714,.80952380952381,.333333333333333,1.78787878787879,.9375,2.58823529411765,.4,.25,1.47619047619048,1.88888888888889,3,0,0,2,.5,3,0,0,1,2
2/20/2018 14:58:18,2/20/2018 15:01:27,3,1,1,0,3,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,3,2,3,2,3,3,3,3,2,2,1,0,2,0,0,3,2,2,1,3,3,24,2,5, , ,4, ,counseling-psychology,2.43,1,1,3,1,3, , ,2.04761904761905,.761904761904762,.555555555555556,1.63636363636364,.8125,2.41176470588235,.6,.5,1.4047619047619,1.55555555555556,2,1,0,2,1,3,1,0,1,1
2/26/2018 15:04:06,2/26/2018 15:07:03,3,0,3,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,3,3,3,3,3,3,3,0,3,2,2,0,0,0,0,1,1,1,0,0,2,21,2,5, , ,4, ,Counselling,3.65,1,2, ,1,3, , ,1.57142857142857,.666666666666667,.333333333333333,1.33333333333333,.6875,1.94117647058824,.6,0,1.11904761904762,.666666666666667,2,0,0,1,0,2,0,0,.5,0
2/26/2018 13:53:01,2/26/2018 13:55:28,2,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,3,3,2,3,3,3,3,3,1,0,0,1,1,0,3,3,2,3,2,22,2,5, , ,4, ,criminal justice and psychology,3.847,1,2, ,2, , , ,2.14285714285714,.380952380952381,.333333333333333,1.51515151515152,.4375,2.52941176470588,.2,.5,1.26190476190476,1.44444444444444,3,0,0,2,0,3,0,.5,1,2
2/19/2018 14:05:34,2/19/2018 14:09:11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,2,3,2,0,1,3,0,0,0,0,0,1,1,3,0,0,22,1,5, , ,4, ,Double Major in Psychology and Sociology,3.75,1,1,1,1,3, , ,1.33333333333333,.0952380952380952,0,.909090909090909,.125,1.64705882352941,0,0,.714285714285714,.666666666666667,1,0,0,0,0,2,0,0,0,0
2/19/2018 19:18:07,2/19/2018 19:22:38,2,1,2,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,2,3,2,2,3,3,1,3,1,2,1,1,0,1,0,2,1,0,1,2,22,3,5, , ,4, ,Double major- Psych & History,3.7,1,1,2, , , , ,1.61904761904762,.571428571428571,.444444444444444,1.27272727272727,.6875,1.82352941176471,.2,.75,1.0952380952381,.666666666666667,2,0,0,1,.5,2,0,1,1,1
1/31/2018 12:50:48,1/31/2018 12:54:10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,1,0,3,3,3,3,0,0,0,0,0,3,1,3,0,0,21,2,5, , ,4, ,General psychology,4,1,3, ,2, , , ,1.57142857142857,.0952380952380952,0,1.06060606060606,.125,1.94117647058824,0,0,.833333333333333,.777777777777778,1,0,0,0,0,3,0,0,0,0
1/31/2018 14:27:32,1/31/2018 14:29:34,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,3,3,3,3,3,3,0,0,0,0,0,0,0,3,3,0,21,2,5, , ,4, ,General Psychology,3.8,1,3, ,1,3, , ,1.76190476190476,.333333333333333,0,1.33333333333333,.4375,2.17647058823529,0,0,1.04761904761905,1.22222222222222,3,0,0,0,0,3,0,0,0,0
1/31/2018 13:01:24,1/31/2018 13:07:38,3,1,0,1,3,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,2,3,3,1,3,2,23,1,5, , ,4, ,General Psychology, ,1,1,2,1,1,3,Psychology of Women,2.23809523809524,.619047619047619,.222222222222222,1.75757575757576,.6875,2.76470588235294,.4,0,1.42857142857143,1.33333333333333,3,0,0,2,0,3,0,0,1,1
2/15/2018 19:15:19,2/15/2018 19:25:20,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,3,3,3,2,0,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0,25,2,2, , ,4, ,Pschological Science,2.9,1,3, ,1,3, , ,1.0952380952381,.238095238095238,.333333333333333,.757575757575758,.125,1.35294117647059,.6,0,.666666666666667,.333333333333333,0,0,0,0,0,0,0,0,0,0
2/18/2018 16:23:08,2/18/2018 16:25:31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0, ,2,5, , ,4, ,Psych,3.8, , , , , , , ,.523809523809524,.0476190476190476,0,.363636363636364,.0625,.647058823529412,0,0,.285714285714286,0,0,0,0,0,0,0,0,0,0,0
2/2/2018 10:37:34,2/2/2018 10:40:32,2,3,2,2,2,2,3,2,2,0,2,2,2,1,2,3,1,2,1,2,0,3,3,3,3,2,3,2,3,3,3,2,2,0,3,0,2,3,3,3,3,0,23,2,5, , ,4, ,Psych,2.5,1,1,3,1,3, , ,2.33333333333333,1.80952380952381,1.66666666666667,2.18181818181818,1.75,2.58823529411765,2,1.25,2.07142857142857,2.33333333333333,3,2,2,2,2,3,2,1,2,2
2/8/2018 14:52:51,2/8/2018 17:15:29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,29,2,3, , ,4, ,Psychological Science,2.6,1,3, , , , , ,.428571428571429,.0476190476190476,0,.303030303030303,.0625,.529411764705882,0,0,.238095238095238,.222222222222222,0,0,0,0,0,1,0,0,0,0
2/8/2018 20:25:24,2/8/2018 20:32:55,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,0,0,1,2,2,3,2,1,0,0,0,0,1,0,2,0,0,20,2,5, , ,4, ,Psychological Science,3.2,1,3, , ,2, ,Gender,1.0952380952381,.19047619047619,.111111111111111,.787878787878788,.25,1.29411764705882,0,.25,.642857142857143,.444444444444444,1,0,0,0,0,2,0,0,0,0
2/9/2018 8:13:43,2/9/2018 8:22:57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,2,0,2,3,3,3,3,0,0,0,0,0,1,2,3,0,0,23,2,3, , ,4, ,Psychological Science,3.4,1,3, , , , , ,1.61904761904762,.19047619047619,.333333333333333,1.06060606060606,.0625,2,.6,0,.904761904761905,.888888888888889,2,0,0,0,0,3,0,0,0,0
2/6/2018 12:51:03,2/6/2018 12:55:03,0,3,3,1,0,3,1,1,1,1,2,1,1,2,0,3,1,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,0,0,1,2,1,3,3,3,3,0,22,2,5, , ,4, ,Psychological Science,3.8,1,3, ,1,3, , ,2.33333333333333,1.23809523809524,1.22222222222222,1.93939393939394,1.125,2.70588235294118,1.6,.75,1.78571428571429,1.88888888888889,3,1,1,3,1,3,2,.5,2,3
2/2/2018 16:38:34,2/2/2018 16:42:25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,22,1,2, , ,4, ,Psychological Science,2.06,1,2, ,1,3, , ,.80952380952381,.0952380952380952,0,.575757575757576,.125,1,0,0,.452380952380952,.111111111111111,0,0,0,0,0,0,0,0,0,0
2/14/2018 8:33:33,2/14/2018 8:37:08,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,2,3,2,2,2,0,0,0,0,0,0,2,1,3,0,23,2,3, , ,4, ,Psychological Science,3.35,1,3, ,1,3, , ,1.52380952380952,.333333333333333,0,1.18181818181818,.4375,1.88235294117647,0,0,.928571428571429,.555555555555556,2,0,0,0,0,2,0,0,0,0
2/16/2018 9:03:56,2/16/2018 9:07:42,0,1,1,1,2,1,1,0,2,1,0,0,0,0,0,2,2,0,0,1,0,3,3,3,3,3,3,3,3,2,1,3,1,0,1,0,0,3,1,3,2,0,25,2,5, , ,4, ,Psychological Science,3.5,1,1,1, , , , ,1.95238095238095,.714285714285714,.555555555555556,1.54545454545455,.75,2.29411764705882,.6,.5,1.33333333333333,1.33333333333333,3,1,0,1,1,3,0,.5,1,1
