Timestamp,Gender,Age,status,love_age,partner_sameage,loyality,difference,second love,relationship,break up ,,,,,,
1/16/2021 17:28:28,Female,22,Single,16,yes - same age,Maybe,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 17:41:16,Female,23,Single,21,yes - same age,Maybe,my partner is elder,No,Maybe,Yes,,,,,,
1/16/2021 18:13:57,Male,22,Single,15,yes - same age,no,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 18:16:46,Male,20,Single,18,no - not the same age,yes,my partner is elder,Yes,Maybe,Yes,,,,,,
1/16/2021 18:57:38,Female,24,In a relationship,21,yes - same age,yes,my partner is of same age,No,Yes,Yes,,,,,,
1/16/2021 19:48:30,Female,20,Single,17,no - not the same age,no,my partner is elder,Yes,Yes,Yes,,,,,,
1/16/2021 19:50:30,Female,19,Single,17,yes - same age,yes,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 19:58:13,Female,21,Single,0,no - not the same age,yes,my partner is elder,No,Maybe,No,,,,,,
1/16/2021 20:54:16,Male,21,Single,0,no - not the same age,Maybe,my partner is younger,No,Yes,No,,,,,,
1/16/2021 20:56:20,Male,20,In a relationship,20,no - not the same age,no,my partner is younger,Yes,No,Yes,,,,,,
1/16/2021 23:27:19,Female,22,Single,17,yes - same age,Maybe,my partner is elder,No,No,No,,,,,,
1/16/2021 23:55:34,Female,23,In a relationship,19,yes - same age,yes,my partner is of same age,No,Maybe,No,,,,,,
1/17/2021 6:03:35,Male,23,In a relationship,19,yes - same age,yes,my partner is of same age,Yes,Yes,Yes,,,,,,
1/17/2021 11:13:47,Male,26,Single,20,no - not the same age,Maybe,my partner is younger,No,Maybe,Yes,,,,,,
1/17/2021 15:02:18,Male,23,Single,19,no - not the same age,no,my partner is elder,Yes,Yes,Yes,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
