instnm,GraduationRate6Yr,GraduationRate4Yr,PercentFinancialAid,PercentStudentLoans,TotalPriceInStateOnCampus,TotalPriceOutStateOnCampus,TotalPriceInStateWithFamily,PercentAdmitted,TotalEnrollment,Applicants,Enrolled,Admitted,SatMath75th,SatReading75th,SatWriting75th,StudToFacRatio
Regis University,68,50,98,54,48078,48078,38096,66,8725,5493,545,3609,590,580,570,14
Reinhardt University,34,23,100,73,34894,34894,27326,91,1364,1158,293,1051,520,530,510,12
Rhode Island College,47,19,86,67,21231,32892,11597,72,8512,4732,1113,3389,510,520,500,14
Rhode Island School of Design,90,68,44,35,64640,64640,53036,37,2481,2425,464,902,720,680,690,9
Rice University,93,83,67,18,58253,58253,44603,16,6719,17951,969,2865,800,760,770,6
Rider University,66,58,100,75,55770,55770,42360,69,5069,9851,862,6798,560,550,540,12
Roanoke College,63,57,100,67,55411,55411,43041,72,2001,4325,508,3134,590,610,598,11
Robert Morris University,61,45,98,78,43404,43404,33758,78,5377,6579,871,5109,580,570,550,15
Roberts Wesleyan College,59,48,100,75,42690,42690,35066,66,1712,1330,242,882,590,590,570,13
Rochester Institute of Technology,68,29,96,71,51068,51068,40650,57,16639,18598,2906,10652,680,660,630,13
Rockford University,49,32,100,83,40740,40740,33430,54,1274,2250,168,1211,520,560,550,10
Rocky Mountain College,48,32,100,74,38096,38096,30092,70,1035,1423,239,994,550,550,540,11
Roosevelt University,40,26,95,66,45432,45432,34000,72,5352,3308,361,2391,610,635,600,11
Rose-Hulman Institute of Technology,82,69,99,52,60801,60801,48141,58,2354,4331,545,2503,750,670,660,13
Rosemont College,48,38,100,95,48398,48398,39018,71,887,875,135,618,505,520,505,10
Rowan University,71,48,86,65,28210,36324,21964,71,16155,12289,2233,8736,610,580,570,18
Rutgers University-Camden,59,27,91,66,29923,44813,18213,58,6408,7518,429,4389,570,550,550,12
Rutgers University-New Brunswick,80,59,69,53,30398,45788,18344,58,49428,35340,6607,20657,700,640,660,15
Rutgers University-Newark,66,34,80,46,30651,46041,17810,65,11720,11646,1200,7529,580,550,550,14
Saint Augustine's University,23,18,100,95,32416,32416,22715,58,810,2581,211,1488,430,410,410,12
Saint Edward's University,64,52,91,57,53200,53200,42566,77,4620,5034,873,3899,600,620,600,14
Saint Francis University,67,57,94,69,47678,47678,41178,74,2664,1932,417,1432,590,570,560,14
Saint John Fisher College,73,65,100,79,44650,44650,34790,62,3823,4586,553,2860,600,570,560,12
Saint Johns University,79,72,100,66,52230,52230,42626,74,1869,1609,451,1192,581,560,540,12
Saint Joseph's College of Maine,54,47,99,91,48030,48030,36520,78,2581,1390,280,1079,540,540,520,12
Saint Martin's University,55,41,99,61,47534,47534,37194,93,1719,945,179,880,570,580,550,11
Saint Mary's College,77,71,99,67,51120,51120,40700,80,1657,1722,419,1384,590,620,620,10
Saint Mary's College of California,73,60,96,61,61227,61227,47727,75,4030,4850,650,3650,610,620,610,11
Saint Mary's University of Minnesota,61,51,99,63,42400,42400,39785,78,5931,1447,277,1123,548,548,540,18
Saint Mary-of-the-Woods College,45,39,100,71,44072,44072,33572,59,873,283,73,168,500,530,500,6
Saint Peter's University,54,39,100,58,50966,50966,38548,67,3406,4528,569,3048,515,500,490,13
Saint Vincent College,73,62,100,77,46135,46135,38342,70,1857,1908,445,1332,580,580,560,12
Saint Xavier University,51,31,100,76,44706,44706,34550,75,3949,7883,622,5886,530,520,540,13
Samford University,73,59,97,35,43666,43666,34400,93,5206,3196,826,2982,610,610,610,12
San Diego Christian College,52,44,99,98,44112,44112,34720,52,917,433,110,224,510,528,510,16
Savannah College of Art and Design,67,52,98,51,52577,52577,38900,70,11861,9841,2048,6880,580,600,590,20
School of the Art Institute of Chicago,66,42,85,40,61010,61010,47740,66,3591,4210,574,2799,670,630,630,9
School of Visual Arts,64,56,55,43,58613,58613,40913,75,4408,3648,698,2748,610,590,600,9
Schreiner University,45,42,99,68,36226,36226,27186,90,1230,943,289,850,550,540,520,14
Seattle University,75,64,96,59,56481,56481,47580,73,7405,7806,1002,5700,630,650,630,11
Shenandoah University,57,40,100,74,44780,44780,36360,82,3820,2044,446,1677,563,560,540,10
Shippensburg University of Pennsylvania,56,41,88,79,25504,34558,15090,89,7048,6126,1390,5461,550,530,520,20
Shorter University,37,27,100,70,33606,33606,25781,63,1472,1622,262,1020,530,530,530,15
Simmons College,74,68,100,71,55250,55250,42570,58,5567,4575,471,2634,610,630,630,7
Simpson University,47,35,100,100,37610,37610,30754,52,1162,623,88,321,560,560,530,9
Slippery Rock University of Pennsylvania,68,52,91,79,23417,26947,15905,68,8611,5781,1523,3952,540,540,520,22
Soka University of America,90,85,100,79,46504,46504,36020,46,444,451,127,208,740,650,640,8
Southeastern Bible College,40,20,100,78,20923,20923,16300,100,151,18,11,18,630,680,580,8
Southeastern University,41,28,97,72,35988,35988,26840,46,4538,3823,979,1777,530,550,530,20
Southern Connecticut State University,51,24,81,70,24210,36480,12919,65,10473,8113,1408,5241,500,510,520,14
Southern Illinois University-Edwardsville,47,26,89,61,22995,34488,13944,88,14265,7786,2096,6869,615,558,570,19
Southern Methodist University,79,68,73,24,67165,67165,51790,49,11643,12992,1374,6360,720,690,690,11
Southern University and A & M College,29,7,98,86,19955,30305,12537,79,6401,2505,1219,1968,510,495,500,24
Southern University at New Orleans,16,5,97,76,17557,17557,10593,21,2709,1795,211,385,480,390,460,20
Southern Utah University,39,22,96,60,19657,32489,12700,72,8881,8387,1427,6050,570,590,570,18
Southern Vermont College,20,14,100,83,36960,36960,26260,63,475,499,104,315,500,490,470,14
Southern Virginia University,33,26,98,60,27100,27100,19600,38,732,1755,249,672,570,580,550,16
Southwest Minnesota State University,50,3,88,69,20254,20254,12682,64,7276,2013,449,1289,530,540,540,28
Southwestern Adventist University,47,20,98,65,31122,31122,23712,49,789,1476,147,716,500,500,360,11
Southwestern Christian University,31,17,93,70,22343,22343,16070,48,746,440,166,212,600,580,560,13
St Bonaventure University,64,52,100,71,44717,44717,33889,66,1992,2996,390,1977,590,580,550,11
St Francis College,52,27,97,44,41800,41800,27800,79,2672,2747,534,2164,500,500,500,17
St Thomas University,41,28,97,61,41699,41699,34917,49,4918,1570,195,768,510,520,500,12
St. Thomas Aquinas College,60,42,97,66,44270,44270,32740,79,1836,1918,276,1513,530,520,510,15
State University of New York at New Paltz,72,54,90,60,23017,32867,12187,42,7751,14655,1079,6084,600,610,600,15
Stephens College,48,47,100,81,43294,43294,33476,68,901,1220,191,827,570,600,560,10
Stevenson University,53,38,99,67,47622,47622,35492,60,4185,5747,734,3433,560,550,550,14
Stockton University,70,50,91,69,29256,35908,18367,71,8674,4980,1151,3531,600,580,570,17
Stony Brook University,72,52,76,43,23655,38735,15091,41,25272,34146,2836,13995,720,660,660,17
Suffolk University,59,45,93,60,52308,52308,40010,82,7922,8492,1334,6995,560,560,560,13
Sul Ross State University,16,13,95,63,19283,28643,10745,80,2967,1143,351,914,480,460,430,15
SUNY at Binghamton,83,71,84,47,24251,37371,12248,42,16913,30616,2661,13010,703,680,670,20
SUNY College at Brockport,68,48,90,74,22420,31770,13642,53,8161,9528,1145,5018,570,550,530,16
SUNY College at Old Westbury,43,22,83,55,22493,32343,13143,50,4353,4474,389,2241,550,530,510,18
SUNY Maritime College,56,34,90,60,24325,34175,12809,68,1860,1342,334,917,610,590,550,17
Sweet Briar College,61,55,100,75,50937,50937,39035,95,320,99,24,94,575,655,640,5
Syracuse University,82,69,71,50,61242,61242,46362,48,21789,33254,3481,16071,660,630,640,16
Tarleton State University,43,24,87,62,18362,27722,11230,50,12330,9300,1961,4619,530,520,500,19
Taylor University,76,66,99,52,41967,41967,33470,85,2168,1716,521,1460,640,640,600,12
Texas A & M International University,41,17,74,25,18987,28502,11992,48,7192,6407,983,3076,520,500,480,19
Texas A & M University-College Station,80,52,77,33,24772,43364,14434,67,63813,33213,10318,22134,670,640,610,20
Texas A & M University-Corpus Christi,35,18,71,58,20553,30019,12085,84,11661,8909,2342,7463,540,530,510,19
Texas A&M University-Texarkana,26,17,91,59,18783,28809,9311,71,1905,1411,155,1000,540,540,500,9
Texas Christian University,77,63,81,28,58270,58270,46470,43,10324,18423,2078,7974,650,630,640,13
Texas Lutheran University,52,30,100,96,40840,40840,31850,51,1373,1863,395,945,565,550,520,14
Texas Southern University,17,6,94,73,25346,37046,14780,51,8965,10487,1457,5338,460,440,430,18
Texas State University,54,27,80,58,21328,32248,16458,71,37979,20711,5784,14672,560,560,530,23
Texas Tech University,60,34,75,43,22576,31936,12774,63,35859,23010,5160,14510,620,600,570,22
