instnm,GraduationRate6Yr,GraduationRate4Yr,PercentFinancialAid,PercentStudentLoans,TotalPriceInStateOnCampus,TotalPriceOutStateOnCampus,TotalPriceInStateWithFamily,PercentAdmitted,TotalEnrollment,Applicants,Enrolled,Admitted,SatMath75th,SatReading75th,SatWriting75th,StudToFacRatio
University of South Florida-St Petersburg,36,22,84,50,20521,31435,11121,47,4739,5122,597,2400,570,600,580,16
University of Southern California,92,77,64,27,67212,67212,55417,18,43401,51924,2949,9181,770,730,750,9
University of Southern Indiana,38,19,89,58,18751,28532,11131,69,10671,6215,1690,4309,550,550,525,18
University of Southern Maine,34,14,94,70,22724,33436,12476,88,7739,3402,705,2986,550,550,540,16
University of St Francis,63,44,100,76,42834,42834,34870,51,3957,1423,181,719,630,530,490,11
University of St Thomas,60,33,97,41,43806,43806,36166,78,3357,874,243,682,610,600,580,9
University of the Ozarks,42,30,100,77,36925,36925,29687,97,651,744,211,720,520,540,520,13
University of the Pacific,68,50,94,57,60733,60733,48982,65,6281,14449,937,9328,660,620,630,13
University of the Sciences,70,63,100,69,56744,56744,42968,58,2664,3738,322,2168,630,600,610,10
University of Toledo,43,22,95,57,24422,33760,15899,93,20377,10678,3341,9952,620,580,560,20
University of Utah,65,29,87,30,21777,39602,12777,81,31592,12174,3410,9913,660,640,620,16
University of Vermont,74,62,95,52,31000,53392,22314,71,12815,25274,2400,17907,640,650,650,15
University of Virginia-Main Campus,94,88,56,28,29572,58745,18802,30,23883,30840,3674,9186,740,720,720,15
University of Washington-Bothell Campus,67,42,66,35,27586,49890,16753,79,5277,2840,694,2236,590,570,550,22
University of Washington-Seattle Campus,84,65,58,28,27034,49338,15724,53,45408,36840,6789,19646,710,660,650,20
University of Washington-Tacoma Campus,60,50,85,38,27733,50037,16900,83,4599,1577,461,1302,550,550,520,16
University of West Alabama,29,16,93,92,19158,26302,12698,73,4032,1195,420,878,560,530,530,13
University of Wisconsin-Madison,85,56,66,36,24673,43923,14985,58,42716,28007,6269,16134,750,660,690,18
University of Wisconsin-Whitewater,57,29,80,65,18319,26392,11237,80,12360,6082,2189,4896,590,550,510,22
Urbana University,34,25,92,77,33036,33036,24012,91,2042,459,148,419,548,520,440,20
Ursuline College,52,31,99,80,40934,40934,34270,88,1178,723,115,636,535,590,565,6
Valdosta State University,36,16,91,65,20427,31001,12515,50,11302,5564,1387,2806,530,550,530,19
Valley City State University,35,21,99,71,17863,26469,11688,86,1422,403,209,348,480,475,450,11
Valparaiso University,66,54,99,59,49500,49500,38980,82,4524,6657,742,5452,630,600,590,12
VanderCook College of Music,59,41,100,90,42026,42026,31249,96,196,47,21,45,612,472,510,6
Villanova University,90,86,65,47,62773,62773,51966,48,10711,16206,1700,7761,710,690,690,12
Virginia Commonwealth University,62,36,82,57,29976,48668,18696,79,30918,14815,3997,11697,590,610,590,17
Virginia Polytechnic Institute and State University,84,61,64,40,24855,41499,16565,73,32663,22280,6324,16355,680,640,630,14
Virginia State University,44,25,92,92,21453,31625,16033,77,4696,6650,765,5119,460,480,450,13
Visible Music College,45,41,100,59,31000,31000,19900,94,109,17,16,16,620,710,710,6
Wabash College,72,64,100,72,51840,51840,42480,61,868,1247,238,766,640,610,600,10
Walla Walla University,54,24,100,60,37602,37602,30762,56,1840,1816,361,1025,580,600,570,13
Wartburg College,69,66,99,73,48600,48600,39590,74,1537,2147,366,1585,650,620,583,11
Washington Adventist University,38,17,50,33,33740,33740,25090,33,1044,1375,143,455,460,470,490,7
Washington State University,67,41,90,48,27825,41425,16469,80,29686,19766,4727,15742,580,570,550,15
Washington University in St Louis,94,88,53,21,67751,67751,53817,17,14688,29259,1731,4898,790,760,770,8
Watkins College of Art Design & Film,31,12,84,47,37170,37170,26790,70,292,117,40,82,600,690,660,8
Wayland Baptist University,24,10,94,69,25366,25366,19414,99,5231,542,314,535,515,490,460,10
Waynesburg University,60,53,99,85,33700,33700,24930,86,1869,1418,356,1214,550,550,520,12
Webster University,59,45,97,62,43000,43000,34508,56,15256,1994,419,1119,615,630,620,13
Wellesley College,91,83,66,32,63390,63390,50686,30,2510,4623,595,1380,750,740,750,7
Wells College,53,51,100,94,52350,52350,39350,63,555,2225,168,1395,540,550,530,9
Wentworth Institute of Technology,65,47,97,75,51190,51190,42990,67,4576,6975,965,4650,630,580,560,15
Wesley College,22,14,100,87,40190,40190,29420,63,1650,4051,480,2534,470,470,450,13
Wesleyan College,58,48,93,59,33310,33310,24240,42,708,848,119,353,560,580,580,8
West Chester University of Pennsylvania,70,46,80,72,25962,36780,15022,59,16597,12624,2396,7408,580,580,570,19
West Liberty University,42,20,96,72,21407,28817,12597,72,2341,1692,409,1220,540,510,520,13
West Virginia State University,29,10,90,63,21284,30194,11037,94,3166,1439,365,1354,500,510,480,17
West Virginia Wesleyan College,50,38,99,68,42923,42923,34857,77,1518,1782,392,1376,550,540,530,13
Western Carolina University,57,37,85,65,20014,30407,11351,40,10340,17699,1639,7127,570,560,530,16
Western Oregon University,39,20,89,71,23339,36698,13701,88,5445,3327,944,2920,530,540,510,14
Western Washington University,69,40,83,45,23236,35588,12775,82,15332,9933,2809,8183,600,620,590,18
Westfield State University,66,53,88,88,22361,28441,13044,80,6496,5140,1292,4092,550,540,530,17
Westminster College,71,68,100,79,46725,46725,38355,73,1314,2277,299,1657,580,590,560,10
Westminster College,64,56,100,76,37330,37330,29690,64,951,1789,239,1139,615,535,523,14
Westmont College,77,74,95,83,57400,57400,45760,81,1297,2077,338,1687,650,650,640,12
Wheaton College,91,82,87,53,45260,45260,35970,71,2929,1971,605,1390,700,710,700,11
Wheeling Jesuit University,58,48,100,73,38200,38200,32530,61,1385,1217,184,739,560,550,510,11
Whitman College,88,83,80,55,59902,59902,48338,43,1470,3790,364,1619,700,720,700,9
Whittier College,64,58,93,73,57783,57783,45297,63,2187,5192,445,3251,590,580,560,12
Wilberforce University,21,6,100,74,25131,25131,18675,55,646,1596,179,880,400,380,398,8
Wilkes University,62,48,97,84,50122,50122,37356,82,5053,3164,584,2586,598,578,550,15
Willamette University,78,70,99,56,58997,58997,47797,78,2746,6332,521,4935,660,670,650,10
William Jessup University,65,53,99,74,41699,41699,32528,76,1161,522,147,397,560,575,550,11
William Woods University,54,45,100,81,37320,37320,26060,73,2172,863,184,631,520,540,555,11
Wilson College,59,36,100,82,38104,38104,28072,45,923,1112,116,503,520,540,500,10
Wingate University,54,44,93,58,42540,42540,32220,70,3149,8018,664,5597,570,560,550,14
Winston-Salem State University,47,20,96,86,18926,28742,9772,59,5107,4478,887,2621,470,460,440,14
Wofford College,80,78,92,46,53539,53539,43056,72,1660,2792,442,2005,630,630,620,11
Worcester State University,56,36,88,67,24485,30565,13425,69,6306,3703,814,2539,560,550,540,17
Wright State University-Lake Campus,26,18,84,40,19472,27840,9798,99,1172,385,271,381,520,480,440,27
Wright State University-Main Campus,35,19,92,64,23688,32056,12686,96,17070,5560,2396,5336,600,600,570,22
Xavier University,72,62,99,65,49220,49220,38080,72,6260,10661,1150,7631,590,590,590,11
Xavier University of Louisiana,41,25,98,69,34372,34372,25572,66,2969,4847,684,3187,560,550,540,14
Yeshiva University,82,71,85,35,57355,57355,44620,80,6194,1558,777,1254,680,690,660,7
York College Pennsylvania,60,39,99,77,31600,31600,21940,43,4739,13235,903,5694,580,570,550,16
Young Harris College,42,39,100,66,41020,41020,33172,52,1204,2232,328,1165,530,550,530,11
Zaytuna College,50,50,50,0,32310,32310,20410,71,61,21,8,15,660,680,668,6
